Rank,Player (Bye),POS,ESPN,Sleeper,CBS,RTSports,Fantrax,AVG,Real-Time
1,Jahmyr Gibbs   DET (6),RB1,1,1,1,1,1,1.0,1
2,Bijan Robinson   ATL (11),RB2,2,2,2,2,2,2.0,2
3,Ja'Marr Chase   CIN (6),WR1,3,3,3,3,3,3.0,3
4,Puka Nacua   LAR (11),WR2,4,4,5,4,4,4.2,4
5,Christian McCaffrey   SF (8),RB3,7,5,7,5,5,5.8,5
6,Jaxon Smith-Njigba   SEA (11),WR3,5,6,6,6,6,5.8,7  -1
7,Jonathan Taylor   IND (13),RB4,6,7,4,7,7,6.2,6  +1
8,Amon-Ra St. Brown   DET (6),WR4,8,8,8,8,8,8.0,8
9,James Cook III   BUF (7),RB5,9,10,9,9,9,9.2,9
10,CeeDee Lamb   DAL (14),WR5,10,9,14,13,11,11.4,10
11,De'Von Achane   MIA (6),RB6,11,12,10,11,13,11.4,13  -2
12,Justin Jefferson   MIN (6),WR6,12,11,15,12,10,12.0,12
13,Chase Brown   CIN (6),RB7,15,15,11,10,12,12.6,14  -1
14,Saquon Barkley   PHI (10),RB8,13,13,13,15,14,13.6,11  +3
15,Omarion Hampton   LAC (7),RB9,20,16,17,14,15,16.4,16  -1
16,Derrick Henry   BAL (13),RB10,14,20,12,19,19,16.8,17  -1
17,Ashton Jeanty   LV (13),RB11,18,14,19,17,18,17.2,19  -2
18,Kenneth Walker III   KC (5),RB12,22,19,16,16,16,17.8,15  +3
19,Drake London   ATL (11),WR7,16,17,20,21,21,19.0,20  -1
20,A.J. Brown   NE (11),WR8,21,18,21,18,17,19.0,18  +2
21,Josh Allen   BUF (7),QB1,17,21,18,28,31,23.0,23  -2
22,Brock Bowers   LV (13),TE1,23,23,26,23,20,23.0,22
23,Trey McBride   ARI (14),TE2,19,22,27,26,25,23.8,25  -2
24,George Pickens   DAL (14),WR9,27,24,22,24,26,24.6,24
25,Nico Collins   HOU (8),WR10,26,25,25,25,22,24.6,21  +4
26,Chris Olave   NO (8),WR11,28,30,28,20,24,26.0,28  -2
27,Malik Nabers   NYG (8),WR12,29,27,29,27,23,27.0,27
28,Rashee Rice   KC (5),WR13,25,28,23,34,28,27.6,31  -3
29,Jeremiyah Love   ARI (14),RB13,24,26,30,29,33,28.4,29
30,Kyren Williams   LAR (11),RB14,35,29,24,30,27,29.0,26  +4
31,Javonte Williams   DAL (14),RB15,30,35,31,22,30,29.6,32  -1
32,Breece Hall   NYJ (13),RB16,31,33,39,31,32,33.2,33  -1
33,DeVonta Smith   PHI (10),WR14,34,36,32,37,29,33.6,30  +3
34,Travis Etienne Jr.   NO (8),RB17,39,44,33,32,35,36.6,41  -7
35,Zay Flowers   BAL (13),WR15,38,41,35,36,34,36.8,35
36,Josh Jacobs   GB (11),RB18,36,32,34,47,39,37.6,53  -17
37,Cam Skattebo   NYG (8),RB19,41,43,36,39,41,40.0,43  -6
